상호명,출처,종류,x,y
바디체인지 휘트니스,인허가,헬스장,983636,1821103
커브스 관평클럽,인허가,헬스장,989978,1824972
짐 델타,인허가,헬스장,990402,1825389
엑스원 휘트니스,인허가,헬스장,983777,1819695
웰메이드 짐,인허가,헬스장,986075,1818194
바이펫짐,인허가,헬스장,989789,1826714
문재엄 헬스,인허가,헬스장,987199,1818471
베네핏,인허가,헬스장,986099,1817306
크로스핏 터,인허가,헬스장,983811,1819726
THE FIT,인허가,헬스장,983562,1819693
바디피티,인허가,헬스장,983070,1821639
Return청춘,인허가,헬스장,985854,1817817
파워핏,인허가,헬스장,990058,1825496
파랑새휘트니스,인허가,헬스장,986784,1821922
TM body complete,인허가,헬스장,986797,1818394
스포원휘트니스,인허가,헬스장,985507,1819196
정직한 FIT,인허가,헬스장,985563,1819180
바디 팩토리,인허가,헬스장,982792,1821103
신원휘트니스,인허가,헬스장,985906,1817972
THE힘찬GYM,인허가,헬스장,990062,1825127
비욘드피티센터,인허가,헬스장,985537,1819188
아레나 휘트니스,인허가,헬스장,986075,1818194
크레이짐,인허가,헬스장,983254,1821524
제이엠휘트니스,인허가,헬스장,991631,1821702
더바디짐,인허가,헬스장,986588,1818284
머슬베어짐,인허가,헬스장,982850,1821081
유성헬스크럽,인허가,헬스장,985299,1817581
유성호텔헬스클럽,인허가,헬스장,985506,1817681
알앤엠짐,인허가,헬스장,990306,1825327
크로스핏 암스트롱,인허가,헬스장,986588,1818311
투모어 휘트니스학하점,인허가,헬스장,982609,1816061
365 PLUS 휘트니스,인허가,헬스장,983751,1812951
스파르타짐 지족점,인허가,헬스장,983713,1819764
헬스보이짐 NC대전유성점,인허가,헬스장,986004,1817374
아레스짐 반석점,인허가,헬스장,983352,1821773
바디리핏,인허가,헬스장,989755,1827041
엑설라이프,인허가,헬스장,983811,1819779
BODY-FIT,인허가,헬스장,982840,1821208
팀터틀랫유성봉명점,인허가,헬스장,986141,1817998
아레스짐,인허가,헬스장,985922,1817992
이엠파워근골격관리센터 대전점,인허가,헬스장,990226,1819913
바디조짐,인허가,헬스장,985701,1817350
더 베네핏,인허가,헬스장,990748,1824968
더 핏 휘트니스,인허가,헬스장,986455,1815800
MONGD GYM(몽드짐),인허가,헬스장,991549,1822503
만나짐,인허가,헬스장,989822,1826493
피트니스 바디타임즈,인허가,헬스장,983766,1819809
(주)월드스포츠컨설팅,인허가,헬스장,984228,1818584
리본휘트니스,인허가,헬스장,987046,1818602
런닝맨휘트니스,인허가,헬스장,986084,1818247
케틀벨 아시아피트니스 반석중앙센터,인허가,헬스장,983222,1821639
보디플러스,인허가,헬스장,983869,1811452
헬피아헬스클럽,인허가,헬스장,986532,1821039
바운스휘트니스,인허가,헬스장,983811,1819779
유성온천헬스,인허가,헬스장,986096,1817705
GB.GYM(지비짐),인허가,헬스장,986582,1821041
투모어휘트니스 구암5호점,인허가,헬스장,985044,1816841
피트니센스,인허가,헬스장,985872,1816104
브라이튼 휘트니스(주),인허가,헬스장,985762,1817539
유성PT 용쓰짐 헬스장,인허가,헬스장,986559,1821164
핫플짐,인허가,헬스장,983776,1819525
빌려줘 홈짐,인허가,헬스장,985841,1818253
파프리카짐,인허가,헬스장,985475,1819053
엔젤짐,인허가,헬스장,994459,1818728
굿라이프 스포츠,인허가,헬스장,993078,1818771
대전북부새마을금고 휘트니스센터(4층),인허가,헬스장,993388,1827344
B&J휘트니스,인허가,헬스장,992162,1817945
더바디짐,인허가,헬스장,993315,1817160
원케이 피트니스,인허가,헬스장,992862,1828212
데이짐PT,인허가,헬스장,994327,1818784
DS휘트니스센터 한남대점,인허가,헬스장,993222,1817064
더쎄짐,인허가,헬스장,993328,1817095
더조짐,인허가,헬스장,994585,1818620
스타핏,인허가,헬스장,994566,1818737
K-스튜디오,인허가,헬스장,993921,1818888
퍼스트샵휘트니스,인허가,헬스장,993938,1818059
크러쉬 짐,인허가,헬스장,992392,1816764
헬스맨&헬스걸,인허가,헬스장,995479,1817588
럭셔리휘트니스헬스,인허가,헬스장,993496,1819679
BBMC 휘트니스,인허가,헬스장,993176,1827554
슈퍼짐 헬스휘트니스,인허가,헬스장,994040,1828306
나우짐휘트니스,인허가,헬스장,992297,1817938
베네핏 휘트니스,인허가,헬스장,994545,1818757
에이플러스 휘트니스,인허가,헬스장,993581,1819276
헬스보이짐,인허가,헬스장,994454,1818842
와라와라헬스,인허가,헬스장,993098,1822328
대전 예방운동연구소,인허가,헬스장,993196,1822609
원퍼센트 피트니스,인허가,헬스장,993569,1828275
RB피트니스,인허가,헬스장,993850,1818878
오늘의 다GYM,인허가,헬스장,993981,1818742
버닝짐,인허가,헬스장,993273,1818302
뉴-한남헬스,인허가,헬스장,993332,1817064
대성휘트니스헬스,인허가,헬스장,994040,1818921
만나휘트니스,인허가,헬스장,993354,1826855
빌리지휘트니스,인허가,헬스장,992857,1817122
선비헬스클럽,인허가,헬스장,994963,1818861
대덕국민체육센터체력단련장,인허가,헬스장,992241,1827558
대전북부새마을금고 휘트니스센터,인허가,헬스장,993388,1827344
웨이브짐,인허가,헬스장,994671,1818523
바른휘트니스,인허가,헬스장,994605,1818502
지비짐(GB GYM),인허가,헬스장,995449,1817512
크로스핏 RPM,인허가,헬스장,993078,1818771
스테디 짐,인허가,헬스장,994352,1818756
홀리짐,인허가,헬스장,993374,1817991
타워짐 피트니스 헬스,인허가,헬스장,995441,1817919
(주)드림바디,인허가,헬스장,990040,1815801
스타트짐,인허가,헬스장,986519,1812064
전스짐&티케필라테스,인허가,헬스장,989067,1811309
몬스짐 갤러리아점,인허가,헬스장,988987,1817218
크로스핏 해,인허가,헬스장,989349,1817135
피트니스 엘,인허가,헬스장,988144,1816970
헬스보이짐&필라걸,인허가,헬스장,989139,1818283
아트핏,인허가,헬스장,990001,1816565
다짐,인허가,헬스장,990019,1816565
JE 양우합기도,인허가,헬스장,989247,1814884
M.W FITNESS 3호점,인허가,헬스장,988758,1817190
sixpacktory,인허가,헬스장,985896,1813729
DTOS (디투스),인허가,헬스장,988958,1818218
랩스휘트니스 둔산점,인허가,헬스장,988894,1817169
디투스,인허가,헬스장,988958,1818218
