상호명,출처,종류,x,y
지앤필라테스,소상공,요가/필라테스,989944,1816744
리온필라테스,소상공,요가/필라테스,983755,1819694
런앤점프,소상공,요가/필라테스,991214,1822160
이수진요가,소상공,요가/필라테스,989964,1817068
글램핏스튜디오,소상공,요가/필라테스,992198,1813635
필라인필라테스,소상공,요가/필라테스,990406,1816058
어라운드필라테스,소상공,요가/필라테스,989232,1817462
월드짐농구교실&키즈클럽,소상공,요가/필라테스,983564,1819691
"본요가,필라테스",소상공,요가/필라테스,994885,1816851
하이스쿠버,소상공,요가/필라테스,988888,1815820
한필라테스요가,소상공,요가/필라테스,983506,1819032
바디앤솔,소상공,요가/필라테스,988221,1816338
필라테스에이치스튜디오,소상공,요가/필라테스,989884,1816995
이니셜필라테스,소상공,요가/필라테스,988401,1814243
수피아스튜디오,소상공,요가/필라테스,993912,1828260
리필라테스,소상공,요가/필라테스,994525,1818778
라니스튜디오,소상공,요가/필라테스,993150,1814526
투아이필라테스,소상공,요가/필라테스,994505,1814740
필라테스인바디,소상공,요가/필라테스,990385,1813618
디자인드바디,소상공,요가/필라테스,989531,1816301
피앤비골프,소상공,요가/필라테스,986630,1812951
브로스제이알케이스튜디오,소상공,요가/필라테스,990984,1816945
요가타임,소상공,요가/필라테스,990796,1817075
엠클래식필라테스,소상공,요가/필라테스,985885,1816120
조쿤바디업.뛰댕겨,소상공,요가/필라테스,983706,1811416
국선도관저동수련원,소상공,요가/필라테스,985244,1811393
더에이치필라테스,소상공,요가/필라테스,985558,1814831
주은필라테스,소상공,요가/필라테스,995962,1812072
엔케이스포츠,소상공,요가/필라테스,993528,1814266
송광민야구트레이닝센터,소상공,요가/필라테스,994806,1811699
비욘드그룹,소상공,요가/필라테스,991868,1813838
퍼니짐신체발달운동센터,소상공,요가/필라테스,988751,1818791
느루요가,소상공,요가/필라테스,986186,1811242
진천기공,소상공,요가/필라테스,986003,1817589
엘라클래식필라테스,소상공,요가/필라테스,989948,1816663
팀그라운드주짓수,소상공,요가/필라테스,991078,1822428
블라썸아카데미,소상공,요가/필라테스,989159,1811067
몽타이마사지,소상공,요가/필라테스,993563,1817130
제이필라테스,소상공,요가/필라테스,992303,1813418
핫플짐,소상공,요가/필라테스,985739,1812148
참나찾기수련원충청지원,소상공,요가/필라테스,995139,1815240
더나무요가,소상공,요가/필라테스,982179,1816572
뉴씨엠피요가홀릭,소상공,요가/필라테스,992161,1815529
유진필라테스,소상공,요가/필라테스,986026,1814042
보노필라테스,소상공,요가/필라테스,986753,1812473
대전워너비필라테스평생교육원,소상공,요가/필라테스,996596,1814466
모어필라테스&더조아짐,소상공,요가/필라테스,988989,1817545
'정'리듬체조아카데미,소상공,요가/필라테스,983636,1821099
제이엠필라테스,소상공,요가/필라테스,991632,1821705
필라리나필라테스,소상공,요가/필라테스,990427,1825310
시드오브라이프,소상공,요가/필라테스,986164,1815198
"필라테스,J",소상공,요가/필라테스,985990,1816193
위드미필라테스,소상공,요가/필라테스,985901,1816139
브로베이스볼아카데미,소상공,요가/필라테스,984955,1811529
필라테스현,소상공,요가/필라테스,985118,1816671
조이필라테스,소상공,요가/필라테스,985944,1813874
다올필라테스평생교육원,소상공,요가/필라테스,994013,1818919
스폴리스포츠클럽,소상공,요가/필라테스,983451,1818046
점프농구교실,소상공,요가/필라테스,996825,1813138
미필라테스,소상공,요가/필라테스,983713,1819807
기천명상기천문,소상공,요가/필라테스,985289,1817376
주필라테스,소상공,요가/필라테스,996381,1813385
오리엔탈필라테스,소상공,요가/필라테스,989872,1817137
한국바른자세협회,소상공,요가/필라테스,984969,1816881
유즈필라테스대전마치점평생교육원,소상공,요가/필라테스,985471,1811053
멀티에어로빅,소상공,요가/필라테스,989335,1816375
비너스요가,소상공,요가/필라테스,988389,1814294
피카토운동센터,소상공,요가/필라테스,985731,1816369
파랑새유소년스포츠클럽,소상공,요가/필라테스,994218,1818345
럭키스타짐,소상공,요가/필라테스,988865,1811202
더숄더,소상공,요가/필라테스,994847,1814319
엘림필라테스,소상공,요가/필라테스,983818,1819498
어바웃필라테스,소상공,요가/필라테스,989129,1817284
민트요가앤번지피지오,소상공,요가/필라테스,986650,1812102
조이요가,소상공,요가/필라테스,994965,1813984
제이스스포츠파크,소상공,요가/필라테스,996854,1812525
다원요가,소상공,요가/필라테스,994394,1818793
릴리필라테스,소상공,요가/필라테스,985858,1813737
바디썸기구필라테스,소상공,요가/필라테스,988989,1817505
바르다선필라테스,소상공,요가/필라테스,990017,1825806
점프윙스줄넘기클럽,소상공,요가/필라테스,996072,1812041
케어필라테스대전,소상공,요가/필라테스,989944,1816819
보드레핏,소상공,요가/필라테스,989145,1818344
필라테스인바디앤요가,소상공,요가/필라테스,992380,1813458
비욘드피티필라테스,소상공,요가/필라테스,986564,1821054
세븐데이즈요가&필라테스,소상공,요가/필라테스,984372,1811008
오필라요가,소상공,요가/필라테스,984439,1811044
요가느루,소상공,요가/필라테스,986186,1811242
나음필라테스,소상공,요가/필라테스,988848,1815830
부정렬개선센터,소상공,요가/필라테스,985131,1811722
타우요가,소상공,요가/필라테스,990147,1815993
투모어휘트니스,소상공,요가/필라테스,982613,1816069
리바디필라테스,소상공,요가/필라테스,983627,1821013
아이언짐,소상공,요가/필라테스,986535,1818277
대한문화체육교육협회,소상공,요가/필라테스,993677,1815032
바타요가원,소상공,요가/필라테스,992345,1813538
런앤점프,소상공,요가/필라테스,983224,1816005
아사야요가,소상공,요가/필라테스,995995,1812034
이너피스,소상공,요가/필라테스,993707,1813993
레나요가,소상공,요가/필라테스,985342,1811865
